Id,Class
31,Perth
32,Perth
33,Sydney
34,Perth
35,Brisbane
36,Perth
37,Sydney
38,Melbourne
39,Sydney
310,Perth
311,Melbourne
312,Brisbane
313,Sydney
314,Brisbane
315,Perth
316,Melbourne
317,Perth
318,Perth
319,Perth
320,Perth
321,Melbourne
322,Brisbane
323,Melbourne
324,Melbourne
325,Perth
326,Brisbane
327,Perth
328,Sydney
329,Perth
330,Brisbane
331,Perth
332,Perth
333,Sydney
334,Perth
335,Sydney
336,Sydney
337,Brisbane
338,Brisbane
339,Melbourne
340,Sydney
341,Brisbane
342,Brisbane
343,Melbourne
344,Brisbane
345,Melbourne
346,Perth
347,Brisbane
348,Perth
349,Perth
350,Brisbane
351,Perth
352,Sydney
353,Melbourne
354,Melbourne
355,Brisbane
356,Brisbane
357,Perth
358,Melbourne
359,Perth
360,Melbourne
361,Brisbane
362,Melbourne
363,Melbourne
364,Sydney
365,Perth
366,Perth
367,Perth
368,Brisbane
369,Perth
370,Brisbane
371,Perth
372,Melbourne
373,Melbourne
374,Brisbane
375,Perth
376,Sydney
377,Perth
378,Melbourne
379,Perth
380,Perth
381,Brisbane
382,Brisbane
383,Perth
384,Sydney
385,Sydney
386,Brisbane
387,Melbourne
388,Sydney
389,Perth
390,Brisbane
391,Sydney
392,Brisbane
393,Perth
394,Brisbane
395,Perth
396,Brisbane
397,Melbourne
398,Sydney
399,Sydney
3100,Perth
3101,Brisbane
3102,Brisbane
3103,Perth
3104,Brisbane
3105,Melbourne
3106,Sydney
3107,Perth
3108,Brisbane
3109,Brisbane
3110,Perth
3111,Perth
3112,Perth
3113,Brisbane
3114,Perth
3115,Perth
3116,Sydney
3117,Sydney
3118,Brisbane
3119,Brisbane
3120,Sydney
3121,Brisbane
3122,Melbourne
3123,Melbourne
3124,Brisbane
3125,Brisbane
3126,Melbourne
3127,Perth
3128,Perth
3129,Perth
3130,Sydney
3131,Perth
3132,Perth
3133,Sydney
3134,Brisbane
3135,Perth
3136,Brisbane
3137,Perth
3138,Sydney
3139,Perth
3140,Melbourne
3141,Perth
3142,Brisbane
3143,Sydney
3144,Melbourne
3145,Brisbane
3146,Perth
3147,Perth
3148,Brisbane
3149,Melbourne
3150,Perth
3151,Perth
3152,Perth
3153,Melbourne
3154,Sydney
3155,Perth
3156,Brisbane
3157,Perth
3158,Melbourne
3159,Sydney
3160,Sydney
3161,Brisbane
3162,Sydney
3163,Brisbane
3164,Perth
3165,Perth
3166,Melbourne
3167,Melbourne
3168,Sydney
3169,Brisbane
3170,Brisbane
3171,Sydney
3172,Perth
3173,Brisbane
3174,Perth
3175,Perth
3176,Perth
3177,Brisbane
3178,Sydney
3179,Perth
3180,Brisbane
3181,Perth
3182,Sydney
3183,Melbourne
3184,Perth
3185,Perth
3186,Sydney
3187,Perth
3188,Sydney
3189,Sydney
3190,Perth
3191,Brisbane
3192,Brisbane
3193,Perth
3194,Perth
3195,Sydney
3196,Perth
3197,Brisbane
3198,Sydney
3199,Melbourne
3200,Perth
3201,Melbourne
3202,Brisbane
3203,Brisbane
3204,Melbourne
3205,Perth
3206,Brisbane
3207,Sydney
3208,Brisbane
3209,Sydney
3210,Sydney
3211,Melbourne
3212,Brisbane
3213,Perth
3214,Sydney
3215,Brisbane
3216,Melbourne
3217,Perth
3218,Perth
3219,Brisbane
3220,Melbourne
3221,Sydney
3222,Perth
3223,Melbourne
3224,Melbourne
3225,Perth
3226,Melbourne
3227,Sydney
3228,Brisbane
3229,Melbourne
3230,Perth
3231,Perth
3232,Sydney
3233,Melbourne
3234,Sydney
3235,Perth
3236,Perth
3237,Melbourne
3238,Sydney
3239,Melbourne
3240,Brisbane
3241,Brisbane
3242,Perth
3243,Melbourne
3244,Melbourne
3245,Melbourne
